"","folder","ess_likelihood","tree","best_or_gen"
"461","data/0.2-0-0.5-0.15/356",629,"true","gen"
"462","data/0.2-0-0.5-0.15/356",8,"true","best"
"463","data/0.2-0-0.5-0.15/356",6,"twin","gen"
"464","data/0.2-0-0.5-0.15/356",3,"twin","best"
"465","data/0.2-0-0.5-0.15/357",901,"true","gen"
"466","data/0.2-0-0.5-0.15/357",731,"true","best"
"467","data/0.2-0-0.5-0.15/357",901,"twin","gen"
"468","data/0.2-0-0.5-0.15/357",871,"twin","best"
"469","data/0.2-0-0.5-0.15/358",901,"true","gen"
"470","data/0.2-0-0.5-0.15/358",867,"true","best"
"471","data/0.2-0-0.5-0.15/358",901,"twin","gen"
"472","data/0.2-0-0.5-0.15/358",593,"twin","best"
"473","data/0.2-0-0.5-0.15/359",901,"true","gen"
"474","data/0.2-0-0.5-0.15/359",901,"true","best"
"475","data/0.2-0-0.5-0.15/359",901,"twin","gen"
"476","data/0.2-0-0.5-0.15/359",901,"twin","best"
"477","data/0.2-0-0.5-0.15/360",901,"true","gen"
"478","data/0.2-0-0.5-0.15/360",882,"true","best"
"479","data/0.2-0-0.5-0.15/360",901,"twin","gen"
"480","data/0.2-0-0.5-0.15/360",829,"twin","best"
"481","data/0.2-0-0.5-0.2/561",901,"true","gen"
"482","data/0.2-0-0.5-0.2/561",664,"true","best"
